text,created_at,user_id,channel,post_url,report_count,upvotes,moderation_status
"Why is the premium plan so expensive now? I can't justify paying for a small community.",2026-05-27,u_001,pricing,https://example.com/p/1,1,14,open
"The new pricing page is confusing. Is team billing included or not?",2026-05-27,u_002,pricing,https://example.com/p/2,0,8,open
"Monthly subscription feels too high for what we use. Any nonprofit discount?",2026-05-28,u_003,general,https://example.com/p/3,0,5,open
"This account keeps posting the same crypto giveaway link in every channel.",2026-05-28,u_004,marketplace,https://example.com/p/4,5,1,pending
"Possible spam bot: identical promo message posted ten times today.",2026-05-28,u_005,general,https://example.com/p/5,7,0,pending
"Can moderators block these fake investment posts automatically?",2026-05-29,u_006,mods,https://example.com/p/6,4,3,open
"Login is broken on mobile. It loops back to the sign-in page after I enter my code.",2026-05-29,u_007,support,https://example.com/p/7,2,6,open
"I keep getting an error when uploading images to my post. The upload button does nothing.",2026-05-30,u_008,support,https://example.com/p/8,1,4,open
"App crashes whenever I try to edit a long comment on Android.",2026-05-30,u_009,support,https://example.com/p/9,3,2,open
"How do I set up my first channel? The onboarding guide skips the permissions step.",2026-05-31,u_010,onboarding,https://example.com/p/10,0,9,open
"I'm confused about roles. What's the difference between admin and moderator?",2026-05-31,u_011,onboarding,https://example.com/p/11,0,7,open
"Please add a quick tutorial for new community owners. Setup is not obvious.",2026-05-31,u_012,onboarding,https://example.com/p/12,0,11,open
"Feature request: can we schedule announcements for next week?",2026-06-01,u_013,feature-requests,https://example.com/p/13,0,13,open
"Would love scheduled posts and recurring announcements for events.",2026-06-01,u_014,feature-requests,https://example.com/p/14,0,10,open
"Please add bulk invite tools for importing members from a CSV.",2026-06-01,u_015,feature-requests,https://example.com/p/15,0,12,open
